order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2510-003504,2400000
FKSCLG,LOC-2-2511-000983,950000
FKSCLG,LOC-2-2511-001437,1690000
FKSCLG,LOC-2-2511-001438,1840000
FKSCLG,LOC-2-2511-001439,1890000
FKSCLG,LOC-2-2601-000157,1700000
FKSCLG,LOC-2-2601-000441,13523770
FKSCLG,LOC-2-2601-000581,8999900
FKSCLG,LOC-2-2601-001713,3400000
FKSCLG,LOC-2-2602-000150,1000000
FKSCLG,LOC-2-2602-000284,4300000
FKSCLG,LOC-2-2602-000355,1000000
FKSCLG,LOC-2-2602-000356,900000
FKSCLG,LOC-2-2602-000357,1000000
FKSCLG,LOC-2-2602-000358,1200000
FKSCLG,LOC-2-2602-000359,900000
FKSCLG,LOC-2-2602-000399,12575940
FKSCLG,LOC-2-2602-000460,900000
FKSCLG,LOC-2-2602-000461,900000
FKSCLG,LOC-2-2602-000462,900000
FKSCLG,LOC-2-2602-000463,900000
FKSCLG,LOC-2-2602-000480,1700000
FKSCLG,LOC-2-2602-000511,1320000
FKSCLG,LOC-2-2602-000512,1000000
FKSCLG,LOC-2-2602-000513,900000
FKSCLG,LOC-2-2602-000514,900000
FKSCLG,LOC-2-2602-000517,1830000
FKSCLG,LOC-2-2602-000550,900000
FKSCLG,LOC-2-2602-000551,900000
FKSCLG,LOC-2-2602-000552,900000
FKSCLG,LOC-2-2602-000553,900000
FKSCLG,LOC-2-2602-000554,1100000
FKSCLG,LOC-2-2602-000582,1950000
FKSCLG,LOC-2-2602-000583,1650000
FKSCLG,LOC-2-2602-000584,2000000
FKSCLG,LOC-2-2602-000585,1650000
FKSCLG,LOC-2-2602-000586,1650000
FKSCLG,LOC-2-2602-000637,900000
FKSCLG,LOC-2-2602-000638,900000
FKSCLG,LOC-2-2602-000639,900000
FKSCLG,LOC-2-2602-000640,900000
FKSCLG,LOC-2-2602-000683,1320000
FKSCLG,LOC-2-2602-000684,900000
FKSCLG,LOC-2-2602-000685,900000
